date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:06:59	112/112	---MC-	200	added ('OK')	text/plain	date:Mon,%2028%20Jul%202025%2012:03:37%20GMT	https://itsa.edu.bo/robots.txt		(from )
08:07:00	220725/220725	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:37%20GMT	https://itsa.edu.bo/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/index.html	(from )
08:07:00	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2028%20Jul%202025%2012:03:38%20GMT	https://itsa.edu.bo/xmlrpc.php	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/xmlrpc.php	(from https://itsa.edu.bo/)
08:07:00	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5d50351ab8658%22	https://itsa.edu.bo/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://itsa.edu.bo/)
08:07:01	294/294	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2012:03:39%20GMT	http://itsa.edu.bo/wp-content/themes/Divi/core/admin/fonts/modules/social/modules.eot	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/core/admin/fonts/modules/social/modules.2.delayed	(from https://itsa.edu.bo/)
08:07:01	730/730	---MC-	200	added ('OK')	application/rss+xml	etag:%22f7fdba5929624bced45cd4eca252c0cb%22	https://itsa.edu.bo/comments/feed/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/comments/feed/index.html	(from https://itsa.edu.bo/)
08:07:01	15762/15762	---MC-	200	added ('OK')	application/rss+xml	etag:%22f7fdba5929624bced45cd4eca252c0cb%22	https://itsa.edu.bo/feed/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/feed/index.html	(from https://itsa.edu.bo/)
08:07:02	10568/10568	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222948-5d503518a3ae8%22	https://itsa.edu.bo/wp-content/themes/Divi/core/admin/fonts/modules/social/modules.eot	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/core/admin/fonts/modules/social/modules.eot	(from https://itsa.edu.bo/)
08:07:03	298/298	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2012:03:40%20GMT	http://itsa.edu.bo/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://itsa.edu.bo/)
08:07:03	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22862e-5d5035189d940%22	https://itsa.edu.bo/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://itsa.edu.bo/)
08:07:03	10599/10599	---M--	200	added ('OK')	text/css	etag:%222967-63a628826ff18%22	https://itsa.edu.bo/wp-content/et-cache/6/et-divi-dynamic-tb-353-6-late.css?ver=1753044720	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/et-cache/6/et-divi-dynamic-tb-353-6-late16d8.css	(from https://itsa.edu.bo/)
08:07:03	50957/50957	---M--	200	added ('OK')	text/css	etag:%22c70d-63a6287d73938%22	https://itsa.edu.bo/wp-content/et-cache/6/et-divi-dynamic-tb-353-6.css?ver=1753044720	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/et-cache/6/et-divi-dynamic-tb-353-616d8.css	(from https://itsa.edu.bo/)
08:07:04	41048/41048	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Jul%202025%2012:03:42%20GMT	https://itsa.edu.bo/wp-json/wp/v2/pages/6	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/wp/v2/pages/6.json	(from https://itsa.edu.bo/)
08:07:04	240659/240659	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Jul%202025%2012:03:42%20GMT	https://itsa.edu.bo/wp-json/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/index.html	(from https://itsa.edu.bo/)
08:07:04	780/780	---MC-	200	added ('OK')	text/xml	date:Mon,%2028%20Jul%202025%2012:03:42%20GMT	https://itsa.edu.bo/xmlrpc.php?rsd	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/xmlrpc0db0.php	(from https://itsa.edu.bo/)
08:07:04	2051/2051	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Jul%202025%2012:03:42%20GMT	https://itsa.edu.bo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fitsa.edu.bo%2F	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/oembed/1.0/embedc78b.json	(from https://itsa.edu.bo/)
08:07:04	2209/2209	---MC-	200	added ('OK')	text/xml	date:Mon,%2028%20Jul%202025%2012:03:43%20GMT	https://itsa.edu.bo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fitsa.edu.bo%2F&format=xml	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/oembed/1.0/embed3731	(from https://itsa.edu.bo/)
08:07:04	18237/18237	---M--	200	added ('OK')	image/png	etag:%22473d-5d5045a10a110%22	https://itsa.edu.bo/wp-content/uploads/2022/01/favicon-150x150.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2022/01/favicon-150x150.png	(from https://itsa.edu.bo/)
08:07:05	44552/44552	---M--	200	added ('OK')	image/png	etag:%22ae08-5d5045a102be0%22	https://itsa.edu.bo/wp-content/uploads/2022/01/favicon-300x300.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2022/01/favicon-300x300.png	(from https://itsa.edu.bo/)
